subject,run,roll,pitch,yaw,x,y,z,eucl
sub-001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,2,0.0005471982956803854,0.007761591987083927,-0.004428108928978194,-0.08353070026577611,-0.08229319035373409,0.502592677110431,1.3580651212662822
sub-001,3,0.001097146204378479,0.016107849193266466,-0.009184011391159512,0.22457920374697066,0.27615480519060603,-0.9202913041136918,0.8097191963267272
sub-001,4,0.000829042542969414,0.011963460837538742,-0.0068231377700824,0.2623662758682297,0.3640848828800358,-0.7496486981475226,0.5880402788925287
sub-001,5,0.0012334743048879355,0.018275613840466498,-0.010418371765468268,0.34860951021653286,0.429968507952086,-1.4183495795023138,0.5889959847910707
sub-002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-002,2,3.883768895538238e-05,0.010999021237153572,-0.014231206834288728,-0.162056892912668,-0.12799332900787874,-0.33403605653594326,1.002653943292499
sub-002,3,2.3626023662564838e-05,0.013813034313744144,-0.01787236000394823,-0.1530770094180526,-0.12068906427431096,-0.2897727615457482,1.4031074406473654
sub-003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-003,2,0.00038797905840071546,0.00395363664470727,-0.0025084815994246366,0.19951645920473027,0.3301490960870268,0.10105179576559564,0.5901381024811033
sub-003,3,0.0010514063712694255,0.010964657332413141,-0.006951731416670252,0.3702503606188853,0.5389181839131965,-0.28344611980771667,0.9508410697903202
sub-003,4,0.0012806237214153012,0.013467284395624501,-0.008536290916189213,0.4256698412409461,0.6689513117720141,-0.010619783399544117,1.4896391576485903
sub-005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-005,2,-0.002169264778887917,-0.011932823207898346,0.00576266812615828,0.10312787056700566,0.06309600017633399,-0.4068046896948228,1.5085174012917455
sub-005,3,0.0,0.0,0.0,0.17064245747332052,0.11642075565602283,-0.640760218795819,0.6732211357347594
sub-005,4,0.0,0.0,0.0,0.25596369497497307,0.20712835008473007,-0.8736177280145085,0.9336157209473281
sub-005,5,0.001526996301253252,0.008643166395469137,-0.0041543084741396405,0.2237627659275892,-0.18240966482725426,-1.7426532655189726,0.9737338047433707
sub-007,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-007,2,-0.0009397354000485122,-0.0038864593109244616,0.006738696759630438,0.093583486262519,0.05304063481769948,-0.0072043717845938285,0.5142837932503854
sub-007,3,-0.0007918238489230397,-0.0032822752732164506,0.005690139232164079,-0.08533992844152927,0.03112543064962381,0.5845089048354524,0.32142414346156045
sub-007,4,0.0007459690848478212,0.0031697870125164673,-0.005485381730083054,-0.485325186785248,-0.25292240331238036,0.19837656933270123,0.6913060682505278
sub-008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-008,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-008,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-008,4,0.0,0.0,0.0,0.014422594804891276,0.14300605483741435,0.11919044145572855,0.18672171807264423
