subject,t,depth,hrf
sub-001,24.044999999999998,0,-0.08142149448678375
sub-001,24.15,0,-0.08046135525077927
sub-001,24.255,0,-0.0794586411551418
sub-001,24.36,0,-0.07841641079740914
sub-001,24.465,0,-0.07733765496655078
sub-001,24.57,0,-0.07622529461443914
sub-001,24.675,0,-0.07508217895307237
sub-001,24.779999999999998,0,-0.07391108368866002
sub-001,24.884999999999998,0,-0.07271470940200386
sub-001,24.99,0,-0.07149568008299934
sub-001,25.095,0,-0.0702565418255432
sub-001,25.2,0,-0.06899976168766524
sub-001,25.305,0,-0.06772772672032461
sub-001,25.41,0,-0.06644274316700778
sub-001,25.515,0,-0.06514703583504675
sub-001,25.619999999999997,0,-0.06384274763844867
sub-001,25.724999999999998,0,-0.06253193931097566
sub-001,25.83,0,-0.06121658928726376
sub-001,25.935,0,-0.059898593748879854
sub-001,26.04,0,-0.05857976683144116
sub-001,26.145,0,-0.05726184098819368
sub-001,26.25,0,-0.055946467504826125
sub-001,26.355,0,-0.054635217159744065
sub-001,26.459999999999997,0,-0.05332958102353248
sub-001,26.564999999999998,0,-0.05203097139095203
sub-001,26.669999999999998,0,-0.050740722838449645
sub-001,26.775,0,-0.049460093399903086
sub-001,26.88,0,-0.04819026585310224
sub-001,26.985,0,-0.04693234910930386
sub-001,27.09,0,-0.04568737969810662
sub-001,27.195,0,-0.04445632333982954
sub-001,27.3,0,-0.04324007659757323
sub-001,27.404999999999998,0,-0.04203946860118562
sub-001,27.509999999999998,0,-0.04085526283541482
sub-001,27.615,0,-0.03968815898466417
sub-001,27.72,0,-0.038538794826885436
sub-001,27.825,0,-0.03740774816933465
sub-001,27.93,0,-0.03629553881910862
sub-001,28.035,0,-0.035202630581598865
sub-001,28.14,0,-0.03412943328024073
sub-001,28.244999999999997,0,-0.03307630479119638
sub-001,28.349999999999998,0,-0.03204355308687626
sub-001,28.455,0,-0.031031438282490584
sub-001,28.56,0,-0.03004017468011209
sub-001,28.665,0,-0.029069932805029914
sub-001,28.77,0,-0.028120841429479713
sub-001,28.875,0,-0.027192989579138207
sub-001,28.98,0,-0.026286428518081523
sub-001,29.084999999999997,0,-0.025401173708208564
sub-001,29.189999999999998,0,-0.024537206739437115
sub-001,29.294999999999998,0,-0.023694477227283826
sub-001,29.4,0,-0.0228729046747272
sub-001,29.505,0,-0.02207238029555272
sub-001,29.61,0,-0.02129276879664983
sub-001,29.715,0,-0.02053391011702027
sub-001,29.82,0,-0.01979562112150751
sub-001,0.0,1,2.0812548921045448e-10
sub-001,0.105,1,2.4897154773526334e-10
sub-001,0.21,1,2.942076638521636e-10
sub-001,0.315,1,3.438300881771512e-10
sub-001,0.42,1,3.9779450106853937e-10
sub-001,0.525,1,4.5604867072301253e-10
sub-001,0.63,1,5.186170642746473e-10
sub-001,0.735,1,5.857529862612236e-10
sub-001,0.84,1,6.582050156198238e-10
sub-001,0.945,1,7.374098970731244e-10
sub-001,1.05,1,8.258086286216305e-10
sub-001,1.155,1,9.276129125445104e-10
sub-001,1.26,1,1.0519094098165822e-09
sub-001,1.365,1,1.2201095257788934e-09
sub-001,1.47,1,1.4763306613065403e-09
sub-001,1.575,1,1.902744441208016e-09
sub-001,1.68,1,2.6298675860109272e-09
sub-001,1.785,1,3.850874070195405e-09
sub-001,1.89,1,5.852792275578206e-09
sub-001,1.9949999999999999,1,9.06534747646825e-09
sub-001,2.1,1,1.4142922547204201e-08
sub-001,2.205,1,2.2018684550324713e-08
sub-001,2.31,1,3.397999760640588e-08
sub-001,2.415,1,5.1836990305448855e-08
sub-001,2.52,1,7.817812554556458e-08
sub-001,2.625,1,1.1680448530819043e-07
sub-001,2.73,1,1.7331092091016195e-07
sub-001,2.835,1,2.5597576888765193e-07
sub-001,2.94,1,3.763154412945388e-07
sub-001,3.045,1,5.497800004053859e-07
sub-001,3.15,1,7.973069357874896e-07
sub-001,3.255,1,1.1475408649089128e-06
sub-001,3.36,1,1.640372451181907e-06
sub-001,3.465,1,2.329307921995511e-06
sub-001,3.57,1,3.2891860177047075e-06
sub-001,3.675,1,4.635998229128989e-06
sub-001,3.78,1,6.549649661052774e-06
sub-001,3.885,1,9.302259618109549e-06
sub-001,3.9899999999999998,1,1.3288538281541148e-05
sub-001,4.095,1,1.9066308534760867e-05
sub-001,4.2,1,2.7377696380751203e-05
sub-001,4.305,1,3.9168666702674874e-05
sub-001,4.41,1,5.563604104354679e-05
sub-001,4.515,1,7.828739650249896e-05
sub-001,4.62,1,0.00010903477236485744
sub-001,4.725,1,0.0001502897652529608
sub-001,4.83,1,0.00020508321835964092
sub-001,4.935,1,0.0002771116004981797
sub-001,5.04,1,0.0003707723750763514
sub-001,5.145,1,0.0004912890637207769
sub-001,5.25,1,0.0006448644215254955
sub-001,5.3549999999999995,1,0.0008389139968779819
sub-001,5.46,1,0.001082151982184987
sub-001,5.5649999999999995,1,0.0013846364243889368
sub-001,5.67,1,0.001757987038367607
sub-001,5.7749999999999995,1,0.0022159802598696815
sub-001,5.88,1,0.0027758916096271603
sub-001,5.984999999999999,1,0.003459673675829416
sub-001,6.09,1,0.004294925158120457
sub-001,6.194999999999999,1,0.005315111004967537
sub-001,6.3,1,0.006559381477869671
sub-001,6.404999999999999,1,0.008072582567009648
sub-001,6.51,1,0.00990515447285164
sub-001,6.614999999999999,1,0.012113158552235812
sub-001,6.72,1,0.014758100737778255
sub-001,6.825,1,0.017906795858171065
sub-001,6.93,1,0.021630561742591106
sub-001,7.035,1,0.026003655083184855
sub-001,7.14,1,0.03110125235588633
sub-001,7.245,1,0.036997557740944674
sub-001,7.35,1,0.04376443446352147
sub-001,7.455,1,0.051470071812880755
sub-001,7.56,1,0.06017774798841901
sub-001,7.665,1,0.06994498226645449
sub-001,7.77,1,0.08082350883035665
sub-001,7.875,1,0.09286060810063713
sub-001,7.9799999999999995,1,0.1060999085161847
sub-001,8.084999999999999,1,0.12058111512050043
sub-001,8.19,1,0.13633922459775957
sub-001,8.295,1,0.15340335007979686
sub-001,8.4,1,0.1717951295232258
sub-001,8.504999999999999,1,0.19152704547518357
sub-001,8.61,1,0.2126006311014818
sub-001,8.715,1,0.23500525637766992
sub-001,8.82,1,0.25871729195736654
sub-001,8.924999999999999,1,0.28369917685662976
sub-001,9.03,1,0.30989875846978393
sub-001,9.135,1,0.3372486796408314
sub-001,9.24,1,0.36566563510555466
sub-001,9.344999999999999,1,0.395048830791136
sub-001,9.45,1,0.42527967282597656
sub-001,9.555,1,0.4562228024631611
sub-001,9.66,1,0.48772768075463724
sub-001,9.764999999999999,1,0.5196307560175177
sub-001,9.87,1,0.551757869786363
sub-001,9.975,1,0.5839270136782037
sub-001,10.08,1,0.6159512093127799
sub-001,10.185,1,0.6476416143982482
sub-001,10.29,1,0.6788105655769123
sub-001,10.395,1,0.7092741899867949
sub-001,10.5,1,0.7388547571610582
