,subject,distance,distance_type,model,model_type,smooth,dva
93,sub-008,4.13891098199202,euclidian,1,norm,2,0.45515475261112115
94,sub-008,4.3234394546455945,geodesic,1,norm,3,0.5094791381896018
95,sub-008,4.13891098199202,euclidian,1,norm,3,0.5094791381896018
96,sub-009,10.593143572709119,geodesic,0,gauss,0,0.12578626595493272
97,sub-009,10.124251765386827,euclidian,0,gauss,0,0.12578626595493272
98,sub-009,10.579887032207493,geodesic,0,gauss,1,0.3877770184224799
99,sub-009,10.141513807365552,euclidian,0,gauss,1,0.3877770184224799
100,sub-009,10.579887032207493,geodesic,0,gauss,2,0.44875752657177503
101,sub-009,10.141513807365552,euclidian,0,gauss,2,0.44875752657177503
102,sub-009,10.579887032207493,geodesic,0,gauss,3,0.49085295894657666
103,sub-009,10.141513807365552,euclidian,0,gauss,3,0.49085295894657666
104,sub-009,10.593143572709119,geodesic,1,norm,0,0.1257838191955742
105,sub-009,10.124251765386827,euclidian,1,norm,0,0.1257838191955742
106,sub-009,10.579887032207493,geodesic,1,norm,1,0.39160056202073795
107,sub-009,10.141513807365552,euclidian,1,norm,1,0.39160056202073795
108,sub-009,10.703816843776425,geodesic,1,norm,2,0.45176220069922185
109,sub-009,10.259044368367455,euclidian,1,norm,2,0.45176220069922185
110,sub-009,10.703816843776425,geodesic,1,norm,3,0.48770318132884594
111,sub-009,10.259044368367455,euclidian,1,norm,3,0.48770318132884594
