,euclidian,subject
0,0.29917862557341923,sub-001
1,0.22738084791820423,sub-001
2,0.28106404625992765,sub-001
3,0.28553508295829627,sub-001
4,0.3133220860392752,sub-001
5,0.28750336971938745,sub-001
6,0.34305663978416345,sub-001
7,0.30627547094078855,sub-001
8,0.26551652020166716,sub-001
9,0.2957152652468265,sub-001
10,0.31537295080586764,sub-001
11,0.33236488924072977,sub-001
12,0.25515292061820993,sub-001
13,0.3207482391222177,sub-001
14,0.3005293602961306,sub-001
15,0.26835345144045203,sub-001
16,0.2970341194206511,sub-001
17,0.2366715498322528,sub-001
18,0.2949226578274404,sub-001
19,0.303892642885613,sub-001
20,0.29879220622366304,sub-001
21,0.34087978760848164,sub-001
22,0.32125829561273955,sub-001
23,0.31838932708243023,sub-001
24,0.27790799286814777,sub-001
25,0.3428562054272955,sub-001
26,0.3008041282961414,sub-001
27,0.27891427016200154,sub-001
28,0.2918999479273686,sub-001
29,0.3063075743431788,sub-001
30,0.30945903137572267,sub-001
31,0.30564235635788584,sub-001
32,0.31335950934988865,sub-001
33,0.2897904070185899,sub-001
34,0.29663678059202897,sub-001
35,0.29981511386186177,sub-001
36,0.24536226278708928,sub-001
37,0.31778513558692667,sub-001
38,0.2909813739743494,sub-001
39,0.2750396836821917,sub-001
40,0.3106950459856131,sub-001
41,0.2863380142419146,sub-001
42,0.29369683842357386,sub-001
43,0.3238526401004044,sub-001
44,0.30876774183842615,sub-001
45,0.30901202646499465,sub-001
46,0.332526459699075,sub-001
47,0.29756741101807543,sub-001
48,0.33177778843677913,sub-001
49,0.3295264019771455,sub-001
50,0.30678099680391513,sub-001
51,0.3137983698173131,sub-001
52,0.32863877875260433,sub-001
53,0.3125130091692203,sub-001
54,0.3134360542439279,sub-001
55,0.3037802824411094,sub-001
56,0.30359204535033496,sub-001
57,0.28355845411484576,sub-001
58,0.29975588551352955,sub-001
59,0.2890053496044681,sub-001
60,0.32818249206805794,sub-001
61,0.2896343826274816,sub-001
62,0.28736910133137383,sub-001
63,0.26646510559546166,sub-001
64,0.3029271364536374,sub-001
65,0.20461679329908886,sub-001
66,0.3468768630220239,sub-001
67,0.3006745065681515,sub-001
68,0.3142549640021664,sub-001
69,0.3136153752608449,sub-001
70,0.2871101685764549,sub-001
71,0.29245328874882226,sub-001
72,0.3026480900319745,sub-001
73,0.2947812960484438,sub-001
74,0.2896008459932418,sub-001
75,0.30297427877627303,sub-001
76,0.20582656874174735,sub-001
77,0.33328223610027646,sub-001
78,0.31450741231328694,sub-001
79,0.3582643751477451,sub-001
80,0.3217780335883764,sub-001
81,0.1963572827781048,sub-001
82,0.2902417042742131,sub-001
83,0.2947573831136402,sub-001
84,0.3128722192844904,sub-001
85,0.32074983538577734,sub-001
86,0.3106959471895378,sub-001
87,0.29073881904555016,sub-001
88,0.3095145762318847,sub-001
89,0.31708612788957163,sub-001
90,0.3141896554630689,sub-001
91,0.24267882664130377,sub-001
92,0.24267790093043293,sub-001
93,0.2656671468209795,sub-001
94,0.2993355677162383,sub-001
95,0.3071751664767193,sub-001
96,0.3159531648836626,sub-001
97,0.29013544923018836,sub-001
